"domain","collect","tags_str"
"0p3.ru","1598745600","['spam']"
"0p417-v35zrwjk9.com","1598745600","['spam']"
"0p8.ru","1598745600","['spam']"
"0pv-60ya.net","1598745600","['spam']"
"0px3xkvwi2vic8yuq0n0.qlu.net","1598745600","['malware']"
"0q2.ru","1598745600","['spam']"
"0q5.ru","1598745600","['spam']"
"0q7.ru","1598745600","['spam']"
"0q725pai9v.jp","1598745600","['spam']"
"0r4s5f-khx.com","1598745600","['spam']"
"0r9.ru","1598745600","['spam']"
"0setnone1.cricket","1598745600","['spam']"
"0sneawz1r8v6n5yz.link","1598745600","['spam']"
"0tw9re3.com","1598745600","['spam']"
"0uo7u.tk","1598745600","['spam']"
"0v7.ru","1598745600","['spam']"
"0v8.ru","1598745600","['spam']"
"0w2.ru","1598745600","['spam']"
"0w4.ru","1598745600","['spam']"
"0w5.ru","1598745600","['spam']"
"0w6.ru","1598745600","['spam']"
"0w7.ru","1598745600","['spam']"
"0web.in","1598745600","['malware']"
"0x-booter.pw","1598745600","['ddos']"
"0y5.ru","1598745600","['spam']"
"0y7.ru","1598745600","['spam']"
"0yi.ru","1598745600","['spam']"
"0yj.ru","1598745600","['spam']"
"0yn.ru","1598745600","['spam']"
"0yoxbd9y3xya.biz","1598745600","['spam']"
"0yp.ru","1598745600","['spam']"
"0yq.ru","1598745600","['spam']"
"0yr.ru","1598745600","['spam']"
"0yt.ru","1598745600","['spam']"
"0yv.ru","1598745600","['spam']"
"0yw.ru","1598745600","['spam']"
"0yz.ru","1598745600","['spam']"
"0z6.ru","1598745600","['spam']"
"0z8.ru","1598745600","['spam']"
"0zf.ru","1598745600","['spam']"
"0zg.ru","1598745600","['spam']"
"0zw.ru","1598745600","['spam']"
"1-34-164-204.hinet-ip.hinet.net","1598745600","['malware']"
"1-jp.jp","1598745600","['spam']"
"1.3wzn5p2yiumh7akj.waytopaytosystem.com","1598745600","['malware']"
"1.ma.gp","1598745600","['malware']"
"1.nsb927.com","1598745600","['malware']"
"1.pe.gp","1598745600","['malware']"
