"url","collect","tags_str"
"0-24bpautomentes.hu/contactform/documentation/3wlfqd87uwq/fvfqyqg188611020818887ck82168xbdpel37d","1600732800","['malware']"
"0-24bpautomentes.hu/contactform/https:/lm/zmjxwcah6xcvp6qnkzmn","1600732800","['malware']"
"0-24bpautomentes.hu/contactform/lm/zmjxwcah6xcvp6qnkzmn","1600732800","['malware']"
"000p7l3.wcomhost.com/ameli-assurance/remboursement/login","1600732800","['phishing']"
"01.shgrasp.vip/v3mzw/setup/%e4%bb%bb%e6%88%91%e8%a1%8c%e6%b5%8f%e8%a7%88%e5%99%a8.exe","1600732800","['malware']"
"016614590390149677279078-dot-my-project-45bb.ey.r.appspot.com/c:/users/user/downiohttps,phishing,openphish.com","1600732800","['phishing']"
"016614590390149677279078-dot-my-project-45bb.ey.r.appspot.com/login.microsoftonline.com/common/oauth2/authorize=vnews2&amp;amp;email=microsoftonline.com/common/oauth2/authorize&amp;amp;hashed_email=y7xy6xczj3r4t4mn&amp;amp;utm_campaign=phx_trigger_uk_pop_email4&amp;amp;utm_source=photobox&amp;amp;utm_medium=email&amp;amp;uid=4978854645473&amp;amp;brandname=photobox","1600732800","['phishing']"
"016614590390149677279078.my-project-45bb.ey.r.appspot.com/c:/users","1600732800","['phishing']"
"016614590390149677279078.my-project-45bb.ey.r.appspot.com/c:/users/user/downiohttps","1600732800","['phishing']"
"0408604b-eef9-4c49-94c6-9f8bfdd5f7bf.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"04c7c8d8-90f8-4641-b8af-f462db1c7413.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"069929446764312-dot-my-project-45bb.ey.r.appspot.com/c:/users","1600732800","['phishing']"
"069929446764312-dot-my-project-45bb.ey.r.appspot.com/c:/users/user","1600732800","['phishing']"
"069929446764312-dot-my-project-45bb.ey.r.appspot.com/c:/users/user/downiohttps,phishing,openphish.com","1600732800","['phishing']"
"069929446764312.my-project-45bb.ey.r.appspot.com/c:/users","1600732800","['phishing']"
"069929446764312.my-project-45bb.ey.r.appspot.com/c:/users/user","1600732800","['phishing']"
"069929446764312.my-project-45bb.ey.r.appspot.com/c:/users/user/d0wni0","1600732800","['phishing']"
"08c8caa7-2bce-4141-90d3-6da0a6b6bab6.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"0931tangfc.com/config/922702/j9h3jec3861056606218942t139mmg2aga8md487","1600732800","['malware']"
"0931tangfc.com/config/paclm/ekw50pjaxptd","1600732800","['malware']"
"0c9f2aaf-7d0f-430a-a0be-48a7d1dcf7a6.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"0f1c07f0-2831-4027-bccc-d1cb74ce2e90.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"0f379a6c-cc5e-4a8d-9eff-d835050981ae.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html","1600732800","['phishing']"
"0nkem.xyz/nig/office/365.html","1600732800","['phishing']"
"0sqsxc90kv1dopxkpdyvha-on.drv.tw/greg","1600732800","['phishing']"
"1.0.137.189:41049/mozi.a","1600732800","['malware']"
"1.0.166.18:59753/mozi.m","1600732800","['malware']"
"1.0.166.49:53060/mozi.m","1600732800","['malware']"
"1.11.132.252:34758/.i","1600732800","['malware']"
"1.17110.com/controls/control.exe","1600732800","['malware']"
"1.189.79.225:59690/mozi.a","1600732800","['malware']"
"1.190.229.104:37990/mozi.m","1600732800","['malware']"
"1.194.145.165:32913/mozi.a","1600732800","['malware']"
"1.197.113.20:48208/mozi.a","1600732800","['malware']"
"1.246.222.107:4428/mozi.a","1600732800","['malware']"
"1.246.222.107:4428/mozi.m","1600732800","['malware']"
"1.246.222.109:1972/mozi.a","1600732800","['malware']"
"1.246.222.109:1972/mozi.m","1600732800","['malware']"
"1.246.222.113:1670/mozi.a","1600732800","['malware']"
"1.246.222.113:1670/mozi.m","1600732800","['malware']"
"1.246.222.123:4081/mozi.a","1600732800","['malware']"
"1.246.222.123:4081/mozi.m","1600732800","['malware']"
"1.246.222.123:4081/mozi.m+-o+-","1600732800","['malware']"
"1.246.222.127:3755/mozi.a","1600732800","['malware']"
"1.246.222.127:3755/mozi.m","1600732800","['malware']"
"1.246.222.134:1879/mozi.a","1600732800","['malware']"
"1.246.222.134:1879/mozi.m","1600732800","['malware']"
"1.246.222.138:1629/mozi.m","1600732800","['malware']"
"1.246.222.14:3654/mozi.a","1600732800","['malware']"
"1.246.222.14:3654/mozi.m","1600732800","['malware']"
"1.246.222.153:3273/mozi.a","1600732800","['malware']"
"1.246.222.153:3273/mozi.m","1600732800","['malware']"
"1.246.222.165:3619/mozi.a","1600732800","['malware']"
"1.246.222.165:3619/mozi.m","1600732800","['malware']"
"1.246.222.20:4474/mozi.a","1600732800","['malware']"
"1.246.222.20:4474/mozi.m","1600732800","['malware']"
"1.246.222.228:2200/mozi.a","1600732800","['malware']"
"1.246.222.228:2200/mozi.m","1600732800","['malware']"
"1.246.222.232:4170/mozi.m","1600732800","['malware']"
"1.246.222.234:3030/mozi.m","1600732800","['malware']"
"1.246.222.237:4056/mozi.a","1600732800","['malware']"
"1.246.222.237:4056/mozi.m","1600732800","['malware']"
"1.246.222.245:4391/mozi.a","1600732800","['malware']"
"1.246.222.245:4391/mozi.m","1600732800","['malware']"
"1.246.222.249:3847/mozi.m","1600732800","['malware']"
"1.246.222.36:4315/mozi.a","1600732800","['malware']"
"1.246.222.36:4315/mozi.m","1600732800","['malware']"
"1.246.222.36:4315/mozi.m+-o+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1","1600732800","['malware']"
"1.246.222.41:3798/mozi.m","1600732800","['malware']"
"1.246.222.43:1699/mozi.a","1600732800","['malware']"
"1.246.222.43:1699/mozi.m","1600732800","['malware']"
"1.246.222.44:1104/mozi.a","1600732800","['malware']"
"1.246.222.45:4210/mozi.a","1600732800","['malware']"
"1.246.222.45:4210/mozi.m","1600732800","['malware']"
"1.246.222.49:3836/mozi.a","1600732800","['malware']"
"1.246.222.49:3836/mozi.m","1600732800","['malware']"
"1.246.222.49:3836/mozi.m+-o+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1","1600732800","['malware']"
"1.246.222.4:2683/mozi.a","1600732800","['malware']"
"1.246.222.4:2683/mozi.m","1600732800","['malware']"
"1.246.222.63:2304/mozi.a","1600732800","['malware']"
"1.246.222.63:2304/mozi.m","1600732800","['malware']"
"1.246.222.79:3928/mozi.a","1600732800","['malware']"
"1.246.222.79:3928/mozi.m","1600732800","['malware']"
"1.246.222.83:2622/mozi.a","1600732800","['malware']"
"1.246.222.83:2622/mozi.m","1600732800","['malware']"
"1.246.222.87:3047/mozi.a","1600732800","['malware']"
"1.246.222.87:3047/mozi.m","1600732800","['malware']"
"1.246.222.8:3564/mozi.a","1600732800","['malware']"
"1.246.222.94:3170/mozi.a","1600732800","['malware']"
"1.246.222.94:3170/mozi.m","1600732800","['malware']"
"1.246.222.98:3491/i","1600732800","['malware']"
"1.246.222.98:3491/mozi.a","1600732800","['malware']"
"1.246.222.98:3491/mozi.m","1600732800","['malware']"
"1.246.223.103:3540/mozi.a","1600732800","['malware']"
"1.246.223.103:3540/mozi.m","1600732800","['malware']"
"1.246.223.109:3926/mozi.a","1600732800","['malware']"
